Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
98,Nepal,0.797565043,0.782,-1.951570362,0.154168829,0.152,-1.406788268,5.137199879,5.269,2.565602354,63.77917862,64.233,0.711550995,7.925357342,8.12,2.455948036,0.738099158,0.727,-1.503748904,South Asia,0.785512447,0.774,-1.465597018
99,Netherlands,0.908547819,0.913,0.490032655,0.20761244,0.175,-15.70832653,7.448900223,7.464,0.202711495,72.30091858,72.4,0.137040334,10.81271172,10.932,1.103222606,0.364717126,0.338,-7.325437742,Western Europe,0.93913883,0.942,0.304658897
100,New Zealand,0.936217487,0.929,-0.770919909,0.191598073,0.134,-30.06192708,7.299600124,7.277,-0.309607699,73.20262909,73.4,0.269622707,10.50094318,10.643,1.352800578,0.22113885,0.242,9.4335075,North America and ANZ,0.949118972,0.948,-0.117895863
101,Nicaragua,0.863902867,0.836,-3.229861604,0.020959141,0.02,-4.576241937,6.13710022,5.972,-2.690199183,67.50717926,67.657,0.221933047,8.493160248,8.62,1.493434108,0.665950119,0.664,-0.292832593,Latin America and Caribbean,0.857497036,0.864,0.75836577
102,Niger,0.759772122,0.806,6.084439882,0.013860817,0.018,29.86247492,4.909599781,5.074,3.348546243,53.50009537,53.78,0.523185292,6.842166901,7.098,3.739065455,0.722530186,0.693,-4.087052219,Sub-Saharan Africa,0.617435038,0.641,3.81658969
103,Nigeria,0.759578407,0.737,-2.97249195,0.033745807,0.037,9.643251382,4.724100113,4.759,0.738762646,49.86190796,50.102,0.481513945,8.57662487,8.533,-0.508648456,0.861874342,0.878,1.870998731,Sub-Saharan Africa,0.73721689,0.74,0.377515767
104,North Cyprus,0.79529351,0.795,-0.036905871,0.000227159,0.012,5182.643435,5.53550005,5.536,0.009031704,73.70222473,73.898,0.265630068,10.40570259,10.576,1.636577718,0.62611568,0.626,-0.018475819,Western Europe,0.820356607,0.82,-0.043469754
105,North Macedonia,,0.751,,,0.038,,,5.101,,,65.474,,,9.693,,,0.905,,Central and Eastern Europe,,0.805,
106,Norway,0.955750287,0.96,0.444646793,0.13453263,0.093,-30.87178925,7.487999916,7.392,-1.282050175,73.20078278,73.3,0.135541201,11.08780384,11.053,-0.313892999,0.263218194,0.27,2.576495909,Western Europe,0.952486575,0.954,0.158892003
107,Pakistan,0.734833717,0.726,-1.202138225,0.04489987,0.098,118.2634382,5.69329977,4.934,-13.33672564,58.25313568,58.709,0.782557565,8.482727051,8.458,-0.291498841,0.745705426,0.787,5.537652344,South Asia,0.689062297,0.651,-5.523781691
108,Palestinian Territories,0.645791829,0.653,1.116175628,-0.162079096,-0.163,0.568181846,4.552800179,4.517,-0.786333193,62.25,62.25,0,8.389223099,8.485,1.141665919,0.824199975,0.821,-0.388252256,Middle East and North Africa,0.825295925,0.826,0.085311823
109,Panama,0.880366504,0.872,-0.95034329,-0.153927714,-0.166,7.842828095,6.304800034,6.18,-1.979444762,69.60301208,69.652,0.070381897,10.03423405,10.35,3.146886433,0.851588905,0.856,0.517984085,Latin America and Caribbean,0.902094483,0.896,-0.675592537
110,Paraguay,0.885923445,0.876,-1.120124437,0.007997713,0.028,250.1000849,5.692100048,5.653,-0.686917793,65.63993835,65.9,0.396194233,9.389982224,9.448,0.617868859,0.834788501,0.882,5.655504232,Latin America and Caribbean,0.898727894,0.893,-0.637333506
111,Peru,0.824766099,0.822,-0.335379813,-0.16238822,-0.154,-5.165534791,5.796800137,5.84,0.745236371,68.10023499,68.25,0.219918492,9.456313133,9.458,0.017838527,0.893714964,0.891,-0.303784104,Latin America and Caribbean,0.831075251,0.832,0.111271392
112,Philippines,0.915463448,0.917,0.167844167,-0.105463006,-0.097,-8.024620501,6.006000042,5.88,-2.097902783,61.92676163,62,0.118266107,8.993545532,9.076,0.916818264,0.733634114,0.742,1.140334922,Southeast Asia,0.846730053,0.83,-1.975842589
113,Poland,0.862055779,0.841,-2.442507725,-0.205084071,-0.165,-19.54518984,6.186299801,6.166,-0.328141242,69.31113434,69.702,0.563929106,10.26512432,10.382,1.138570526,0.686927021,0.735,6.998265832,Central and Eastern Europe,0.874257445,0.898,2.715739527
114,Portugal,0.888747811,0.892,0.36592934,-0.220714301,-0.244,10.55015416,5.910900116,5.929,0.306211975,72.40202332,72.6,0.273440811,10.26374245,10.421,1.532165784,0.892629504,0.887,-0.63066524,Western Europe,0.886590719,0.879,-0.856169463
115,Romania,0.842823207,0.845,0.258273975,-0.19781521,-0.219,10.70938377,6.123700142,6.14,0.266176619,67.20723724,67.355,0.219861381,10.107584,10.284,1.745382477,0.934300244,0.938,0.39599219,Central and Eastern Europe,0.825161517,0.832,0.82874478
116,Russia,0.729892612,0.718,-1.629364622,-0.151153743,-0.111,-26.56483538,5.546000004,5.477,-1.244139992,64.10045624,64.703,0.939999175,10.12887192,10.189,0.593630569,0.864802599,0.845,-2.289840366,Commonwealth of Independent States,0.903150737,0.903,-0.016690126
117,Rwanda,0.900589406,0.897,-0.398561872,0.055483952,0.061,9.941699899,3.312299967,3.415,3.10056559,61.09884644,61.4,0.492895656,7.600104332,7.676,0.998613502,0.183541179,0.167,-9.012244059,Sub-Saharan Africa,0.54083544,0.552,2.064317383
118,Saudi Arabia,0.854191244,0.877,2.670216554,-0.168695062,-0.149,-11.67494873,6.406499863,6.494,1.365802527,66.30514526,66.603,0.44921814,10.79781246,10.743,-0.507625597,0.682619512,0.684,0.202233891,Middle East and North Africa,0.874067068,0.891,1.937257748
119,Senegal,0.690596163,0.695,0.637686283,-0.052335154,-0.046,-12.10496868,4.980800152,5.132,3.035653778,59.59915161,59.802,0.340354493,8.118982315,8.118,-0.012098992,0.808785141,0.801,-0.962572209,Sub-Saharan Africa,0.723616004,0.71,-1.881661534
120,Serbia,0.726495862,0.778,7.089391791,-0.073676221,0.002,-102.7145801,5.77820015,6.078,5.188464266,68.21020508,68.6,0.571461293,9.680980682,9.787,1.095129941,0.843509018,0.835,-1.008764319,Central and Eastern Europe,0.881475747,0.873,-0.961540579
121,Sierra Leone,0.715315044,0.717,0.235554392,0.088660747,0.084,-5.256832542,3.926399946,3.849,-1.971270045,50.86514282,51.651,1.544981762,7.26880312,7.434,2.272683374,0.861330688,0.866,0.542104451,Sub-Saharan Africa,0.636142015,0.63,-0.965510036
122,Singapore,0.926645339,0.927,0.038273651,0.029879224,-0.018,-160.2425284,6.377099991,6.377,-0.00156797,76.80458069,76.953,0.193242784,11.39552116,11.488,0.811536732,0.109784193,0.082,-25.30800859,Southeast Asia,0.910268962,0.915,0.51974067
123,Slovakia,0.749952674,0.766,2.13977849,-0.124409303,-0.124,-0.328997101,6.280600071,6.331,0.802469962,68.90634155,69.201,0.427621672,10.34774971,10.369,0.205361461,0.918096125,0.911,-0.772917433,Central and Eastern Europe,0.922493756,0.936,1.4641014
124,Slovenia,0.936142623,0.949,1.373442111,-0.080603383,-0.101,25.30491431,6.363399982,6.461,1.533771542,71.1029892,71.4,0.417719147,10.39232254,10.529,1.315177233,0.817071021,0.806,-1.354964344,Central and Eastern Europe,0.939575672,0.948,0.896609848
125,South Africa,0.759330094,0.749,-1.360422046,-0.109777324,-0.067,-38.96735905,4.814099789,4.956,2.947595962,56.50601196,56.904,0.704328666,9.403370857,9.403,-0.003943873,0.843423843,0.86,1.965341286,Sub-Saharan Africa,0.852532268,0.86,0.875947138
126,South Korea,0.612965107,0.672,9.631036469,-0.043404032,-0.083,91.22647408,5.872399807,5.845,-0.466586198,73.6027298,73.9,0.403884748,10.51056671,10.651,1.336115301,0.789067447,0.727,-7.865924166,East Asia,0.799387157,0.799,-0.048431726
127,South Sudan,0.451313615,,,0.016518548,,,2.816600084,,,51,,,7.425359726,,,0.763417304,,,Sub-Saharan Africa,0.553707123,,
128,Spain,0.751989543,0.761,1.198215731,-0.050961714,-0.081,58.94284874,6.400899887,6.491,1.407616344,74.40270996,74.7,0.399568833,10.46292686,10.571,1.032914991,0.765859902,0.745,-2.723722961,Western Europe,0.921125412,0.932,1.180576267
129,Sri Lanka,0.837633669,0.841,0.401885827,0.081129618,0.079,-2.624957509,4.327000141,4.325,-0.046224658,67.20006561,67.299,0.147223651,9.389969826,9.47,0.852294262,0.859001756,0.863,0.465452366,South Asia,0.825374067,0.827,0.196993468
130,Swaziland,0.646822274,0.647,0.02747679,-0.19920142,-0.185,-7.129176087,4.308100224,4.308,-0.002326408,51.18823624,50.833,-0.693980231,9.16267395,9.065,-1.065998316,0.708263338,0.708,-0.037180804,Sub-Saharan Africa,0.770290196,0.77,-0.037673594
131,Sweden,0.939144194,0.945,0.623525763,0.111614622,0.086,-22.94916342,7.353499889,7.363,0.129191693,72.60076904,72.7,0.136680315,10.75879383,10.867,1.005746292,0.250880182,0.237,-5.532594041,Western Europe,0.926311195,0.934,0.830045566
132,Switzerland,0.921336651,0.919,-0.253615331,0.105911039,0.025,-76.39528397,7.559899807,7.571,0.146829896,74.10244751,74.4,0.401542054,10.97993279,11.117,1.248342887,0.303728431,0.292,-3.861486052,Western Europe,0.942846596,0.942,-0.089791489
133,Taiwan Province of China,0.77153033,0.784,1.616225509,-0.073198698,-0.07,-4.369883738,6.45539999,6.584,1.992130777,69.59999847,69.6,2.20E-06,10.77568531,10.871,0.884534832,0.73188293,0.721,-1.486976886,East Asia,0.894309103,0.898,0.412709318
134,Tajikistan,0.831383407,0.832,0.074164699,-0.025088511,-0.056,123.2097393,5.555699825,5.466,-1.614554922,64.10459137,64.281,0.27518876,8.024810791,8.091,0.824807098,0.592076063,0.553,-6.599838339,Commonwealth of Independent States,0.835297108,0.86,2.957377891
135,Tanzania,0.82153976,0.833,1.394970829,0.109668687,0.183,66.86622682,3.476200104,3.623,4.222999011,57.49607468,57.999,0.874712444,7.967665195,7.876,-1.150464945,0.619799435,0.577,-6.905368508,Sub-Saharan Africa,0.688933194,0.702,1.896672437
136,Thailand,0.905063033,0.884,-2.327244869,0.268685192,0.287,6.81645604,5.998799801,5.985,-0.2300427,67.25059509,67.401,0.223648445,9.741791725,9.805,0.648836239,0.886272311,0.895,0.984763813,Southeast Asia,0.889973223,0.888,-0.22171712
137,Togo,0.649828613,0.619,-4.74411443,0.002667875,0.032,1099.456496,4.187200069,4.107,-1.915362717,54.71989822,54.914,0.354718825,7.357711315,7.362,0.058288302,0.757733464,0.772,1.882790807,Sub-Saharan Africa,0.551312625,0.569,3.208229632
138,Trinidad and Tobago,0.857907116,,,0.000526841,,,6.191899776,,,63.5,,,10.26000214,,,0.912230611,,,Latin America and Caribbean,0.91529417,,
139,Tunisia,0.593361557,0.656,10.5565388,-0.216413811,-0.201,-7.122378618,4.392199993,4.596,4.640043881,66.89785767,67.201,0.453142059,9.314972878,9.266,-0.525743646,0.867590249,0.87,0.2777522,Middle East and North Africa,0.688718557,0.691,0.331259115
140,Turkey,0.608830452,0.576,-5.392380078,-0.171046436,-0.139,-18.73551811,5.131800175,4.948,-3.581592594,66.90281677,67.199,0.442706667,10.12941933,10.24,1.091678273,0.748197377,0.776,3.71594767,Middle East and North Africa,0.826313555,0.822,-0.522023991
141,Turkmenistan,0.826457024,0.877,6.115620599,0.187671542,0.273,45.46691368,5.119100094,5.066,-1.037293529,62.21170807,62.409,0.317129904,9.74803257,9.629,-1.221093273,0.883691847,0.888,0.487517568,Commonwealth of Independent States,0.958966196,0.983,2.506220146
142,Uganda,0.731713951,0.709,-3.104211826,0.099487431,0.122,22.62855596,4.43200016,4.636,4.60288431,55.70820236,56.101,0.705098394,7.500389576,7.677,2.354683343,0.836737812,0.855,2.182546042,Sub-Saharan Africa,0.764994621,0.781,2.092221116
143,Ukraine,0.663081884,0.724,9.187118133,-0.030933706,-0.011,-64.44008358,4.56069994,4.875,6.891487362,64.60678101,64.902,0.456947375,9.010690689,9.436,4.720052277,0.920636714,0.924,0.365321733,Commonwealth of Independent States,0.878879368,0.888,1.037756981
144,United Arab Emirates,0.941345513,0.932,-0.992782445,0.123450845,0.074,-40.05711342,6.790800095,6.561,-3.383991456,67.08278656,67.333,0.372992019,11.1099987,11.085,-0.225010827,0.594502211,0.589,-0.92551565,Middle East and North Africa,0.849181116,0.844,-0.610130855
145,United Kingdom,0.834743679,0.859,2.905840632,0.263732493,0.233,-11.65290354,7.164500237,7.064,-1.40275293,72.30160522,72.5,0.274398859,10.60013485,10.707,1.008148967,0.435915917,0.459,5.295535698,Western Europe,0.93668282,0.934,-0.286417125
146,United States,0.842619538,0.837,-0.666912853,0.149891734,0.098,-34.61947675,6.939599991,6.951,0.164274728,68.29949951,68.2,-0.14568117,10.92576885,11.023,0.889925014,0.699715316,0.698,-0.245144841,North America and ANZ,0.914219022,0.92,0.632340595
147,Uruguay,0.892395437,0.896,0.403919927,-0.101103112,-0.092,-9.003790111,6.440100193,6.431,-0.141305146,69.00254822,69.1,0.141229248,9.948192596,9.966,0.1790014,0.635994136,0.59,-7.231849068,Latin America and Caribbean,0.92281127,0.925,0.237180675
148,Uzbekistan,0.974998116,0.97,-0.512628273,0.248427153,0.311,25.18760379,6.257599831,6.179,-1.256069949,65.10757446,65.255,0.226433777,8.740371704,8.836,1.094098732,0.501497388,0.515,2.692459088,Commonwealth of Independent States,0.926595807,0.918,-0.927676009
149,Venezuela,0.62327832,0.615,-1.328189949,-0.169090509,-0.169,-0.053526955,5.053199768,4.892,-3.19005334,66.50534058,66.7,0.292697426,8.977793694,9.073,1.0604644,0.837038398,0.827,-1.199275687,Latin America and Caribbean,0.890408158,0.861,-3.302772749
150,Vietnam,0.939592957,0.94,0.043321206,-0.094533332,-0.098,3.667138275,5.353499889,5.411,1.074065792,67.9527359,68.034,0.119589151,8.809545517,8.973,1.855424695,0.79642123,0.796,-0.052890353,Southeast Asia,0.849987149,0.85,0.001511905
151,Yemen,0.599920273,0.602,0.346667231,-0.157735437,-0.147,-6.805976643,3.527400017,3.658,3.702443226,56.72728348,57.122,0.695814246,7.759682655,7.578,-2.341367077,0.800287724,0.8,-0.035952569,Middle East and North Africa,0.817980587,0.832,1.713905345
152,Zambia,0.806500256,0.782,-3.037848509,0.078037128,0.061,-21.83207972,3.759399891,4.073,8.341759805,55.29937744,55.809,0.921570158,8.224720001,8.145,-0.96927313,0.801289678,0.823,2.709422397,Sub-Saharan Africa,0.698824465,0.708,1.312995675
153,Zimbabwe,0.711457908,0.677,-4.843281326,-0.072063953,-0.047,-34.78015285,3.299200058,3.145,-4.673862006,55.61725998,56.201,1.049566304,7.865711689,7.943,0.982597813,0.81023699,0.821,1.32837801,Sub-Saharan Africa,0.763092756,0.75,-1.715748957
