Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
22,Canada,0.933913231,0.915,-2.025159337,0.124770768,0.089,-28.66918957,7.23210001,7.103,-1.785097134,73.60160065,73.8,0.269558472,10.69236851,10.776,0.782160565,0.390843362,0.415,6.180644306,North America and ANZ,0.927176654,0.926,-0.126907207
23,Central African Republic,0.640880644,,,0.082410358,,,3.475899935,,,45.20000076,,,6.625160217,,,0.891806662,,,Sub-Saharan Africa,0.319459856,,
24,Chad,0.587305248,0.579,-1.414128007,0.017834719,0.041,129.8886795,4.422699928,4.355,-1.530737538,48.22053909,48.478,0.533923749,7.467963696,7.364,-1.392129103,0.802760839,0.807,0.52807272,Sub-Saharan Africa,0.632388055,0.619,-2.117063233
25,Chile,0.744896293,0.742,-0.388818286,-0.065668367,-0.044,-32.9966588,6.228499889,6.172,-0.907118729,69.90061951,70,0.142173976,10.0320549,10.071,0.388206608,0.838239431,0.83,-0.982944812,Latin America and Caribbean,0.879713595,0.882,0.259903338
26,China,0.898517907,0.904,0.610126182,-0.18142575,-0.146,-19.52630759,5.123899937,5.339,4.19797548,69.2891922,69.593,0.438463475,9.688568115,9.673,-0.160685406,0.7539711,0.755,0.136464116,East Asia,0.798760593,0.811,1.532299804
27,Colombia,0.836179912,0.837,0.098075544,-0.161235645,-0.135,-16.27161599,6.163400173,6.012,-2.45643912,67.69958496,68.001,0.445224354,9.500369072,9.557,0.596091874,0.86457181,0.841,-2.726414362,Latin America and Caribbean,0.884440243,0.847,-4.233213413
28,Comoros,0.547612607,0.548,0.070742162,0.090008408,0.082,-8.897399896,4.288599968,4.289,0.009327799,57.34901047,57.349,-1.83E-05,7.833630085,8.031,2.519520489,0.780622602,0.781,0.048345769,Sub-Saharan Africa,0.625662446,0.626,0.053951456
29,Congo (Brazzaville),0.719058514,0.695,-3.345835357,-0.123674095,-0.068,-45.01677979,5.194399834,5.342,2.841524925,57.92448044,58.221,0.511907155,8.536987305,8.117,-4.91961965,0.751779079,0.745,-0.901738182,Sub-Saharan Africa,0.640228093,0.636,-0.660404166
30,Congo (Kinshasa),0.700793564,,,0.083637655,,,4.31099987,,,52.90000153,,,6.694256306,,,0.809403598,,,Sub-Saharan Africa,0.672159016,,
31,Costa Rica,0.934738934,0.934,-0.079052447,-0.10242971,-0.126,23.01118494,7.121399879,7.069,-0.735808688,71.29985046,71.4,0.140462483,9.658156395,9.88,2.296956023,0.786332428,0.809,2.882695816,Latin America and Caribbean,0.901545942,0.891,-1.169762018
32,Croatia,0.714838803,0.754,5.47832558,-0.128538325,-0.118,-8.198585908,5.504700184,5.882,6.854139252,70.21490479,70.799,0.831867837,10.07087517,10.217,1.450964564,0.916495264,0.939,2.455521254,Central and Eastern Europe,0.874623716,0.924,5.645431641
33,Cyprus,0.779858291,0.763,-2.161712095,0.043731496,-0.015,-134.3002215,6.15899992,6.223,1.039131041,73.70222473,73.898,0.265630068,10.40570259,10.576,1.636577718,0.856271744,0.844,-1.433159985,Western Europe,0.805996239,0.802,-0.495813604
34,Czech Republic,0.818537354,0.858,4.821117302,-0.230861515,-0.208,-9.902696428,6.910900116,6.965,0.782819649,70.04793549,70.807,1.083635806,10.40416336,10.556,1.459383467,0.85844624,0.868,1.112913023,Central and Eastern Europe,0.914430678,0.947,3.561704871
35,Denmark,0.951444268,0.946,-0.57221092,0.066201776,0.03,-54.68399518,7.645599842,7.62,-0.334831047,72.40250397,72.7,0.410891908,10.77400112,10.933,1.475764465,0.168489456,0.179,6.238101926,Western Europe,0.955990791,0.954,-0.208243742
36,Dominican Republic,0.866202772,0.86,-0.716087757,-0.131263286,-0.133,1.323076736,5.689199924,5.545,-2.534625711,65.80748749,66.102,0.447536475,9.664880753,9.802,1.41873708,0.755999923,0.714,-5.555545936,Latin America and Caribbean,0.882085383,0.853,-3.297343269
